Name,Start,End,Tclocation
Command Secondary School Rd 2,"6.611646636717396, 3.2556052702994744","6.646868744317528, 3.295646322969276",125
Command Secondary School Rd 1,"6.646892839042565, 3.29558280051119","6.611663430010819, 3.255563287065912",126
Command Secondary School Rd 2,"6.611646636717396, 3.2556052702994744","6.646868744317528, 3.295646322969276",126
A.I.T Road 1,"6.635748663497669, 3.250101450915362","6.672334678581156, 3.2698941725742414",127
A.I.T Road 2,"6.672375566599929, 3.269809475963926","6.63575742521598, 3.2500605628965875",127
A.I.T Road 1,"6.635748663497669, 3.250101450915362","6.672334678581156, 3.2698941725742414",129
A.I.T Road 2,"6.672375566599929, 3.269809475963926","6.63575742521598, 3.2500605628965875",129
Alakuko Rd 1,"6.6820813600561575, 3.2721839016255285","6.6824836689551566, 3.303334730784979",133
Alakuka Rd 2,"6.682514334969235, 3.3033288896394404","6.682101073922351, 3.272150315038679",133
Agbado-Ijaiye Rd 1,"6.683206510715605, 3.298220077722401","6.663453216789113, 3.2860117184743083",131
Agbado-Ijaiye Rd 2,"6.663465264151787, 3.286047860562328","6.683160511694482, 3.298256219810418",131
Lagos Abeokuta 1,"6.650908626600929, 3.302282229373168","6.751817336359805, 3.2147439017530433",130
Lagos Abeokuta 2,"6.751808574641497, 3.214559905668566","6.650724630516447, 3.3022866102323225",130
Lagos Abeokuta 1,"6.650908626600929, 3.302282229373168","6.751817336359805, 3.2147439017530433",141
Lagos Abeokuta 2,"6.751808574641497, 3.214559905668566","6.650724630516447, 3.3022866102323225",141
Lagos Abeokuta 1,"6.650908626600929, 3.302282229373168","6.751817336359805, 3.2147439017530433",145
Lagos Abeokuta 2,"6.751808574641497, 3.214559905668566","6.650724630516447, 3.3022866102323225",145
Ilo Awela Rd 1,"6.690380167580672, 3.237292183819942","6.692351554200083, 3.2571681418027527",140
Ilo Awela Rd 2,"6.692474218256401, 3.256997288295737","6.690511593355301, 3.23730970725656",140
Ijoko,"6.707634181359664, 3.243113250421143","6.746458450399374, 3.257981886390651",142
Ijoko rd 2,"6.7464236773298305, 3.2579367087806217","6.707617753137832, 3.2430650609704457",142
Idi-Iroko Rd 1,"6.675570399406045, 3.125218854506464","6.688657120914558, 3.2263370240936564",137
Idi-Iroko Rd 2,"6.688735976379335, 3.22620066985248","6.675619684071526, 3.125232818495017",137
Agoro Rd 1,"6.766190113833777, 3.2183052664417415","6.750134812640866, 3.25916225412902",144
Agoro Rd 2,"6.750184097306351, 3.259195110572677","6.766242684143627, 3.2183101949082897",144
Zenith academy 1,"6.766094830147168, 3.243693440455378","6.787557685907712, 3.235536417611993",146
Zenith academy 2,"6.787565900018626, 3.235489597179782","6.766090107033317, 3.2436659231838285",146
Robiyan Health Center 1,"6.750158838915127, 3.293886997313566","6.747668320485926, 3.2968703623976223",143
Robiyan Health Center 2,"6.74771760515141, 3.296837505953965","6.750158838915127, 3.293886997313566",143
Agabado-Ijoko Rd 1,"6.6947793031312415, 3.2989666035029392","6.725463935862522, 3.2870947489985713",134
Agabado-Ijoko Rd 2,"6.725443400585236, 3.2870232862336173","6.6947653391426885, 3.2989107475487227",134
Ijoko Duduherry 1,"6.712906203096815, 3.3393151377248356","6.721777442884206, 3.3118323654279336",63
Ijoko Duduherry 2,"6.721738015151819, 3.3118274369613863","6.712871703830977, 3.339300352325193",63
Ijoko Duduherry 1,"6.712906203096815, 3.3393151377248356","6.721777442884206, 3.3118323654279336",69
Ijoko Duduherry 2,"6.721738015151819, 3.3118274369613863","6.712871703830977, 3.339300352325193",69
Ayawoele Rd 1,"6.653518181186779, 3.3567175531077735","6.671641795507984, 3.3462133480706284",68
Ayawoele Rd 2,"6.671597439309046, 3.3461574921164114","6.653434397255453, 3.356605841199339",68
Akute - Ajuwon rd 1,"6.671704222750933, 3.3331216980954927","6.678623789785098, 3.3620583680242198",65
NULLAkute - Ajuwon rd 2,"6.6786607532842135, 3.362023868758382","6.671757614471876, 3.3331463404282387",65
Ago Palace way 1,"6.487120829341329, 3.3006743171620183","6.515732220477852, 3.3192053513845696",15
Ago Palace way 2,"6.515843932386285, 3.319152781074718","6.48712082934133, 3.3005363200986575",15
Okuta Rd 1,"6.508144024815268, 3.3220310055390705","6.5276656808140805, 3.31793216419286",102
Okuta Rd 2,"6.527682109035909, 3.3178401661506203","6.508102954260698, 3.321930793385918",102
Apapa Oshodi Expressway 1,"6.545910863976816, 3.3373996070596377","6.461292378982559, 3.3158654938868346",101
Apapa Oshodi Expressway 2,"6.461200380940319, 3.315977205795268","6.545838579800767, 3.3375113189680716",101
Ijesha Rd 1,"6.493307697681945, 3.325768426005058","6.5087305123345445, 3.336262774109106",100
Ijesha rd 2,"6.50875679748947, 3.336151062200673","6.493304412037581, 3.325707641584293",100
Oduduwa St,"6.506992406465089, 3.3369445453149904","6.501434739020508, 3.346536984040654",96
Ododuwa way 2,"6.5014725239307145, 3.3465238414631924","6.507002263398187, 3.337013543846673",96
Itire St 1,"6.511587380110521, 3.3393726365012464","6.523333558717901, 3.3484410149505797",93
Itire St 2,"6.523331915895719, 3.3483802305298145","6.511589022932704, 3.3393488155795943",93
Festac Access Rd 1,"6.46701186441215, 3.298440900404439","6.4705537890383775, 3.3220121130839755",11
Festac Access Rd 2,"6.470737785122857, 3.3220515408163642","6.467159718408607, 3.2984376147600725",11
Apapa Oshodi Expressway 1,"6.545910863976816, 3.3373996070596377","6.461292378982559, 3.3158654938868346",12
Apapa Oshodi Expressway 2,"6.461200380940319, 3.315977205795268","6.545838579800767, 3.3375113189680716",12
Bayo Shodipo 1,"6.564063227686219, 3.348277554143389","6.486896584113374, 3.364370640246592",90
Bayo Shodipo 2,"6.486998439088709, 3.364482352155026","6.564082941552416, 3.3484714071609663",90
Bayo Shodipo 1,"6.564063227686219, 3.348277554143389","6.486896584113374, 3.364370640246592",91
Bayo Shodipo 2,"6.486998439088709, 3.364482352155026","6.564082941552416, 3.3484714071609663",91
Ishaga rd 1,"6.5200766637404035, 3.3457771787810904","6.5101145900235995, 3.362708104197546",92
Ishaga rd 2,"6.510203302421473, 3.3626653908207924","6.520127591228073, 3.345801821113834",92
Akerele st 1,"6.506053533587597, 3.352471679176206","6.499413246324515, 3.358826115379471",95
Akerele St 2,"6.499396818102687, 3.358914827777345","6.506132389052372, 3.3525505346409825",95
Ijede rd 1,"6.593865664905308, 3.5888245066228857","6.614844504180308, 3.570883245563977",45
Ijede rd 2,"6.614709792761312, 3.570879959919612","6.593872236194038, 3.588763722202122",45
Awolowo way 1,"6.589788180247473, 3.517376527068544","6.549502894679638, 3.5412935538175816",48
Awolowo Way 2,"6.549517680079281, 3.5413338029610624","6.589845679023873, 3.517412669156567",48
Igbe Rd 1,"6.5972219506248715, 3.528738285285139","6.591932063196094, 3.553433188337746",47
Igbe Rd 2,"6.591999418905591, 3.5534430452708428","6.597270413879266, 3.5287374638740476",47
Ebute Jpakodo Rd 1,"6.5919985974944995, 3.5084913232926005","6.603199359137174, 3.4900654296897518",49
Ebute Jpakodo Rd 2,"6.603202644781541, 3.4899537177813182","6.591960812584294, 3.508442038627114",49
Oba Sekumade 1,"6.619887968281661, 3.5034043244034074","6.605749840576051, 3.495733987631679",78
Oba Sekumade 2,"6.605721912598941, 3.495755344320056","6.619869897237653, 3.503461823179806",78
Obafemi Awolowo rd 1,"6.614501154344098, 3.5115083662314066","6.631997210591454, 3.5353424304601995",51
Obafemi Awolowo rd 2,"6.632069494767501, 3.535253718062328","6.614517582565926, 3.51130137063637",51
